Model	mdlname	Par
461	'[x^2*y, x^3*y, x^2*y^3, 1]'	4
462	'[x^3, x*y^2, x^2*y^3, 1]'	4
463	'[y^3, x*y^2, x^2*y^3, 1]'	4
464	'[x^2, x*y^2, x^2*y^3, 1]'	4
465	'[y^2, x*y^2, x^2*y^3, 1]'	4
466	'[x, x*y^2, x^2*y^3, 1]'	4
467	'[y, x*y^2, x^2*y^3, 1]'	4
468	'[x*y, x*y^2, x^2*y^3, 1]'	4
469	'[x^2*y^2, x*y^2, x^2*y^3, 1]'	4
470	'[x^3*y^3, x*y^2, x^2*y^3, 1]'	4
471	'[x^2*y, x*y^2, x^2*y^3, 1]'	4
472	'[x^3*y, x*y^2, x^2*y^3, 1]'	4
473	'[x^3, x*y^3, x^2*y^3, 1]'	4
474	'[y^3, x*y^3, x^2*y^3, 1]'	4
475	'[x^2, x*y^3, x^2*y^3, 1]'	4
476	'[y^2, x*y^3, x^2*y^3, 1]'	4
477	'[x, x*y^3, x^2*y^3, 1]'	4
478	'[y, x*y^3, x^2*y^3, 1]'	4
479	'[x*y, x*y^3, x^2*y^3, 1]'	4
480	'[x^2*y^2, x*y^3, x^2*y^3, 1]'	4
481	'[x^3*y^3, x*y^3, x^2*y^3, 1]'	4
482	'[x^2*y, x*y^3, x^2*y^3, 1]'	4
483	'[x^3*y, x*y^3, x^2*y^3, 1]'	4
484	'[x*y^2, x*y^3, x^2*y^3, 1]'	4
485	'[x^3, y^3, x^3*y^2, 1]'	4
486	'[x^3, x^2, x^3*y^2, 1]'	4
487	'[y^3, x^2, x^3*y^2, 1]'	4
488	'[x^3, y^2, x^3*y^2, 1]'	4
489	'[y^3, y^2, x^3*y^2, 1]'	4
490	'[x^2, y^2, x^3*y^2, 1]'	4
491	'[x^3, x, x^3*y^2, 1]'	4
492	'[y^3, x, x^3*y^2, 1]'	4
493	'[x^2, x, x^3*y^2, 1]'	4
494	'[y^2, x, x^3*y^2, 1]'	4
495	'[x^3, y, x^3*y^2, 1]'	4
496	'[y^3, y, x^3*y^2, 1]'	4
497	'[x^2, y, x^3*y^2, 1]'	4
498	'[y^2, y, x^3*y^2, 1]'	4
499	'[x, y, x^3*y^2, 1]'	4
500	'[x^3, x*y, x^3*y^2, 1]'	4
501	'[y^3, x*y, x^3*y^2, 1]'	4
502	'[x^2, x*y, x^3*y^2, 1]'	4
503	'[y^2, x*y, x^3*y^2, 1]'	4
504	'[x, x*y, x^3*y^2, 1]'	4
505	'[y, x*y, x^3*y^2, 1]'	4
506	'[x^3, x^2*y^2, x^3*y^2, 1]'	4
507	'[y^3, x^2*y^2, x^3*y^2, 1]'	4
508	'[x^2, x^2*y^2, x^3*y^2, 1]'	4
509	'[y^2, x^2*y^2, x^3*y^2, 1]'	4
510	'[x, x^2*y^2, x^3*y^2, 1]'	4
511	'[y, x^2*y^2, x^3*y^2, 1]'	4
512	'[x*y, x^2*y^2, x^3*y^2, 1]'	4
513	'[x^3, x^3*y^3, x^3*y^2, 1]'	4
514	'[y^3, x^3*y^3, x^3*y^2, 1]'	4
515	'[x^2, x^3*y^3, x^3*y^2, 1]'	4
516	'[y^2, x^3*y^3, x^3*y^2, 1]'	4
517	'[x, x^3*y^3, x^3*y^2, 1]'	4
518	'[y, x^3*y^3, x^3*y^2, 1]'	4
519	'[x*y, x^3*y^3, x^3*y^2, 1]'	4
520	'[x^2*y^2, x^3*y^3, x^3*y^2, 1]'	4
521	'[x^3, x^2*y, x^3*y^2, 1]'	4
522	'[y^3, x^2*y, x^3*y^2, 1]'	4
523	'[x^2, x^2*y, x^3*y^2, 1]'	4
524	'[y^2, x^2*y, x^3*y^2, 1]'	4
525	'[x, x^2*y, x^3*y^2, 1]'	4
526	'[y, x^2*y, x^3*y^2, 1]'	4
527	'[x*y, x^2*y, x^3*y^2, 1]'	4
528	'[x^2*y^2, x^2*y, x^3*y^2, 1]'	4
529	'[x^3*y^3, x^2*y, x^3*y^2, 1]'	4
530	'[x^3, x^3*y, x^3*y^2, 1]'	4
531	'[y^3, x^3*y, x^3*y^2, 1]'	4
532	'[x^2, x^3*y, x^3*y^2, 1]'	4
533	'[y^2, x^3*y, x^3*y^2, 1]'	4
534	'[x, x^3*y, x^3*y^2, 1]'	4
535	'[y, x^3*y, x^3*y^2, 1]'	4
536	'[x*y, x^3*y, x^3*y^2, 1]'	4
537	'[x^2*y^2, x^3*y, x^3*y^2, 1]'	4
538	'[x^3*y^3, x^3*y, x^3*y^2, 1]'	4
539	'[x^2*y, x^3*y, x^3*y^2, 1]'	4
540	'[x^3, x*y^2, x^3*y^2, 1]'	4
541	'[y^3, x*y^2, x^3*y^2, 1]'	4
542	'[x^2, x*y^2, x^3*y^2, 1]'	4
543	'[y^2, x*y^2, x^3*y^2, 1]'	4
544	'[x, x*y^2, x^3*y^2, 1]'	4
545	'[y, x*y^2, x^3*y^2, 1]'	4
