Participant,x,y,x0,y0,CalPoint
7,640,525,823,548,5
7,640,525,823,546,5
7,640,525,859,571,5
7,640,525,864,565,5
7,640,525,862,568,5
7,640,525,864,568,5
7,640,525,861,568,5
7,640,525,863,568,5
7,640,525,856,572,5
7,640,525,854,570,5
7,640,525,855,563,5
7,640,525,858,568,5
7,640,525,859,566,5
7,640,525,860,567,5
7,640,525,865,564,5
7,640,525,861,570,5
7,640,525,865,572,5
7,640,525,859,572,5
7,640,525,860,579,5
7,640,525,859,570,5
7,640,525,863,568,5
7,640,525,862,576,5
7,640,525,857,575,5
7,640,525,858,570,5
7,640,525,860,575,5
7,640,525,864,574,5
7,640,525,857,578,5
7,640,525,863,579,5
7,640,525,861,576,5
7,640,525,866,571,5
7,640,525,856,576,5
7,640,525,862,573,5
7,640,525,868,571,5
7,640,525,868,575,5
7,640,525,863,575,5
7,640,525,873,572,5
7,640,525,867,571,5
7,640,525,865,575,5
7,640,525,868,573,5
7,640,525,869,571,5
7,640,525,868,572,5
7,640,525,872,576,5
7,640,525,866,573,5
7,640,830,863,581,8
7,640,830,869,578,8
7,640,830,864,579,8
7,640,830,866,578,8
7,640,830,861,584,8
7,640,830,874,580,8
7,640,830,872,581,8
7,640,830,875,580,8
7,640,830,868,576,8
7,640,830,869,576,8
7,640,830,869,577,8
7,640,830,863,585,8
7,640,830,863,586,8
7,640,830,870,588,8
7,640,830,846,889,8
7,640,830,842,897,8
7,640,830,846,900,8
7,640,830,842,900,8
7,640,830,838,901,8
7,640,830,842,895,8
7,640,830,844,899,8
7,640,830,852,901,8
7,640,830,839,905,8
7,640,830,812,902,8
7,640,830,818,905,8
7,640,830,814,900,8
7,640,830,822,901,8
7,640,830,824,902,8
7,640,830,820,902,8
7,640,830,821,902,8
7,640,830,821,904,8
7,640,830,818,901,8
7,640,830,830,902,8
7,640,830,856,882,8
7,640,830,843,886,8
7,640,830,851,884,8
7,640,830,848,886,8
7,640,830,844,886,8
7,640,830,845,891,8
